Name,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder),Biovolume (P. Spheroid),Biovolume (Sphere),Calibration Factor,Calibration Image,Capture ID,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Group ID,Image Height,Image Width,Image X,Image Y,Intensity,Length,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,UUID,Volume (ABD),Volume (ESD),Width
2022-09-30_AM-Sample_Raw-Lake_Test1,345.5894,348.5054,0.0636,201.0751,201.2720,201.4179,1164.8768,993.2295,4832.8614,0.3404,0,1,343,1464,7.2075,4.4224,1000.0000,7.2822,4.6792,1000.0000,0.2569,0.0000,0.1002,0.1128,9.9803,181.6855,0.8077,09-30-2022 13:48:59,20.9766,57.1494,21.0649,27.6499,1.6250,29.3199,-90.0000,-5.0000,0.2229,0.8178,0.0000,0.0341,108.4355,3.6984,1,305,70,0,0,183.4359,88.6742,1,224.2676,0.9990,1.0017,1.0007,1.2344,0.0000,0.0000,0.0000,26.4775,2407632,0.0000,0,0.0000,0.0000,629919.0000,0.4228,09-30-2022 13:48:59,09-30-2022 13:48:59,0.6330,2D4609B940E811ED8B1900301809E817,4832.8614,97731.1797,6.6378
2022-09-30_AM-Sample_Raw-Lake_Test1,210.5510,211.5047,0.0316,198.9254,198.8233,198.8376,303.0345,2286.5750,2298.2634,0.3404,0,2,569,781,7.5945,4.6918,1000.0000,7.6853,4.7903,1000.0000,0.0985,0.0000,0.0284,0.0164,35.1975,321.9884,0.3028,09-30-2022 13:48:59,16.3732,101.7512,16.4102,44.8760,1.9850,108.5669,-75.0000,15.0000,0.0411,0.9605,0.0000,0.0092,165.6783,1.5260,2,502,162,0,0,171.6213,159.1370,4,334.4086,1.0005,0.9996,1.0001,1.0386,0.0000,0.0000,0.0000,15.9699,2407633,0.0000,0,0.0000,0.0000,372933.0000,0.8393,09-30-2022 13:48:59,09-30-2022 13:48:59,0.8391,2D4610F340E811ED8B1900301809E817,2298.2634,551591.6312,6.2974
2022-09-30_AM-Sample_Raw-Lake_Test1,134.8724,134.8724,0.5248,194.2789,193.8960,193.4525,515.5100,1112.6423,1178.2804,0.3404,0,3,182,380,7.5467,4.6745,1000.0000,7.5773,4.7487,1000.0000,0.0742,0.2375,0.2390,0.6799,4.1842,56.2594,0.7533,09-30-2022 13:48:59,13.1044,17.2186,13.1044,54.0328,2.3440,11.0546,-10.0000,80.0000,0.9952,0.5012,0.0000,0.0905,43.1265,3.9012,3,81,106,0,0,137.7748,21.6154,1,94.0555,1.0020,0.9957,0.9977,1.6718,0.0000,0.0000,0.0000,34.5794,2407634,0.0000,0,0.0000,0.0000,200049.0000,0.4329,09-30-2022 13:48:59,09-30-2022 13:48:59,0.2389,2D4615AD40E811ED8B1900301809E817,1178.2804,2672.9425,12.0842
2022-09-30_AM-Sample_Raw-Lake_Test1,119.7725,131.0368,0.7333,195.7573,195.4717,195.0934,689.2012,1393.7359,986.0518,0.3404,0,4,969,1121,5.5690,3.8069,210.0000,6.2810,4.3590,210.0000,0.5522,0.3807,0.3977,0.7563,2.5142,54.4919,0.8272,09-30-2022 13:48:59,12.3491,16.6040,12.9167,46.1176,2.4380,5.7239,45.0000,-40.0000,0.5929,0.6278,0.0000,0.1747,30.6348,5.3521,4,94,90,0,0,176.1570,19.2326,1,71.9737,1.0015,0.9966,0.9981,1.3208,0.0000,0.0000,0.0000,29.6951,2407635,0.0000,0,0.0000,0.0000,230061.0000,0.3110,09-30-2022 13:48:59,09-30-2022 13:48:59,0.2563,2D4618BE40E811ED8B1900301809E817,986.0518,2396.8083,13.4458
2022-09-30_AM-Sample_Raw-Lake_Test1,252.5683,252.5683,0.5894,186.0121,185.4194,184.8193,1708.4252,2736.5651,3019.4788,0.3404,0,5,818,325,7.3453,4.5382,1000.0000,7.4156,4.6364,1000.0000,0.0982,0.3514,0.4055,0.7752,2.4662,71.5245,0.8257,09-30-2022 13:48:59,17.9326,22.0598,17.9326,53.1189,2.8750,5.5681,0.0000,-90.0000,0.6269,0.6147,0.0000,0.1796,40.7045,7.3102,5,94,118,0,0,130.7745,25.0194,2,96.0294,1.0032,0.9936,0.9968,1.3426,0.0000,0.0000,0.0000,30.5152,2407636,0.0000,0,0.0000,0.0000,335829.0000,0.5202,09-30-2022 13:48:59,09-30-2022 13:48:59,0.1871,2D461C5A40E811ED8B1900301809E817,3019.4788,5620.8758,16.8498
2022-09-30_AM-Sample_Raw-Lake_Test1,403.4063,671.1401,0.8370,179.2858,179.2427,179.2251,14784.8186,12092.4564,6095.0566,0.3404,0,6,480,441,5.1719,3.7813,53.0000,5.6829,4.5327,53.0000,0.7514,0.7710,0.8250,0.9746,1.2121,96.9724,0.9910,09-30-2022 13:48:59,22.6635,30.1632,29.2322,56.1949,3.1100,1.0000,60.0000,0.0000,0.0000,1.2220,0.0000,1.0000,26.6017,26.6017,6,137,124,0,0,147.2689,32.5082,1,106.4066,1.0002,0.9997,0.9999,1.0973,0.0000,0.0000,0.0000,24.1920,2407637,0.0000,0,0.0000,0.0000,584363.0000,0.7624,09-30-2022 13:48:59,09-30-2022 13:48:59,0.2486,2D461F3C40E811ED8B1900301809E817,6095.0566,14369.1746,27.0618
2022-09-30_AM-Sample_Raw-Lake_Test1,149.1230,150.0616,0.9666,204.2089,204.4317,204.6356,962.6973,1446.8705,1369.8741,0.3404,0,7,960,1492,5.3182,3.9072,49.0000,5.4301,4.1340,49.0000,0.2268,0.6686,0.4862,0.9616,2.0569,50.4252,0.9142,09-30-2022 13:48:59,13.7793,15.3180,13.8226,60.0751,3.2820,4.2254,-80.0000,-30.0000,0.6943,0.5902,0.0000,0.2367,27.9713,6.6198,7,92,91,0,0,133.5003,16.5094,2,69.1821,0.9989,1.0021,1.0010,1.3720,0.0000,0.0000,0.0000,52.5320,2407638,0.0000,0,0.0000,0.0000,212132.0000,0.4931,09-30-2022 13:48:59,09-30-2022 13:48:59,0.1005,2D46234140E811ED8B1900301809E817,1369.8741,1881.9359,14.1266
2022-09-30_AM-Sample_Raw-Lake_Test1,88.6918,88.6918,0.7428,203.1028,203.3363,203.4820,608.8535,541.5853,628.3312,0.3404,0,8,494,1390,5.3182,3.9072,49.0000,5.4301,4.1340,49.0000,0.2268,0.6899,0.6298,0.9425,1.5878,39.5214,0.9502,09-30-2022 13:48:59,10.6267,11.8573,10.6267,79.7339,3.2820,2.6043,-90.0000,0.0000,0.2309,0.8124,0.0000,0.3840,17.3888,6.6769,8,86,71,0,0,117.1766,14.1266,1,48.1315,0.9989,1.0019,1.0007,1.2179,0.0000,0.0000,0.0000,48.8899,2407638,0.0000,0,0.0000,0.0000,117411.0000,0.6905,09-30-2022 13:48:59,09-30-2022 13:48:59,0.1038,2D4626CD40E811ED8B1900301809E817,628.3312,872.8757,9.0206
2022-09-30_AM-Sample_Raw-Lake_Test1,118.1238,121.1131,0.6917,197.9713,197.4109,196.8721,1262.1438,811.6448,965.7617,0.3404,0,9,528,1253,7.2946,4.5196,1000.0000,7.3567,4.6280,1000.0000,0.1084,0.6963,0.8749,0.9341,1.1430,43.2408,1.0000,09-30-2022 13:48:59,12.2638,13.0298,12.4180,51.4370,3.3910,1.0000,-15.0000,-90.0000,0.0000,1.3223,0.0000,1.0000,11.7131,11.7131,9,75,89,0,0,142.9264,15.4882,1,46.8525,1.0028,0.9944,0.9973,1.0835,0.0000,0.0000,0.0000,24.7513,2407639,0.0000,0,0.0000,0.0000,184375.0000,0.8872,09-30-2022 13:48:59,09-30-2022 13:48:59,0.0588,2D46298F40E811ED8B1900301809E817,965.7617,1158.2636,10.3822
2022-09-30_AM-Sample_Raw-Lake_Test1,80.9161,80.9161,0.6272,202.5341,202.5243,202.6205,419.5372,545.7866,547.5408,0.3404,0,10,992,1414,7.2471,4.4101,1000.0000,7.3937,4.6155,1000.0000,0.2054,0.3927,0.4799,0.7667,2.0840,41.0411,0.8506,09-30-2022 13:48:59,10.1502,12.3490,10.1502,57.8175,4.5940,4.3152,50.0000,-30.0000,0.4524,0.6885,0.0000,0.2317,21.5061,4.9838,10,81,79,0,0,148.4811,14.8074,1,52.9797,1.0000,1.0004,1.0005,1.2909,0.0000,0.0000,0.0000,23.2631,2407640,0.0000,0,0.0000,0.0000,137345.0000,0.3674,09-30-2022 13:48:59,09-30-2022 13:48:59,0.1781,2D462C3A40E811ED8B1900301809E817,547.5408,986.0281,9.0206
2022-09-30_AM-Sample_Raw-Lake_Test1,182.9784,207.9028,0.1937,199.2134,199.2259,199.1904,619.8561,3707.4380,1861.9312,0.3404,0,11,359,1324,7.2471,4.4101,1000.0000,7.3937,4.6155,1000.0000,0.2054,0.0000,0.1172,0.1529,8.5288,133.2588,0.4318,09-30-2022 13:48:59,15.2635,41.7368,16.2699,29.8568,4.5940,24.7536,-90.0000,0.0000,0.2635,0.7915,0.0000,0.0404,78.4921,3.1709,11,228,82,0,0,185.4184,62.1230,2,163.3260,0.9999,0.9999,0.9998,1.2256,0.0000,0.0000,0.0000,22.3232,2407640,0.0000,0,0.0000,0.0000,354520.0000,0.3559,09-30-2022 13:48:59,09-30-2022 13:48:59,0.6343,2D462EE840E811ED8B1900301809E817,1861.9312,38067.7107,12.4246
